Вопрос из БЗ,Ответ из БЗ,Классификатор 1 уровня,Классификатор 2 уровня
"Для каких статусов доступна монетизация, и почему могут отключить монетизацию из-за изменения юридического статуса на видео, как этого избежать?","Монетизацию на RUTUBE можно подключить, если вы самозанятый, ИП или юрлицо. 
Лимит дохода самозанятых — 2,4 млн ₽ в год. Если его превысить, статус автоматически теряется, а монетизация отключится. Чтобы вернуть монетизацию, перейдите в другой юридический статус с новым налоговым режимом и подайте новую заявку. ",МОНЕТИЗАЦИЯ,Отключение/подключение монетизации
Какой статус мне выбрать для монетизации?,"Монетизацию на RUTUBE можно подключить, если вы самозанятый, ИП или юрлицо. 
",МОНЕТИЗАЦИЯ,Отключение/подключение монетизации
"Если я превышу лимит по самозанятости, с монетизацией все будет хорошо?","Лимит дохода самозанятых — 2,4 млн ₽ в год. Если его превысить, статус автоматически теряется, а монетизация отключится. Чтобы вернуть монетизацию, нужно будет перейти в другой юридический статус с новым налоговым режимом и заново подать заявку. ",МОНЕТИЗАЦИЯ,Отключение/подключение монетизации
"Какой контент можно использовать для монетизации, то есть в коммерческих целях?","То, что вы создали сами: видео, которое вы сняли, музыку, которую вы написали, изображения, которые вы создали. Видео, музыку, изображения со стоков, которые предоставляют лицензию на коммерческое использование. Рекомендуем внимательно читать условия лицензии и соблюдать их — например, размещать ссылки на источники и имя автора, как это предусмотрено лицензией. Видео, музыку, изображения из библиотек платных видеоредакторов, лицензия которых предусматривает право на их коммерческое использование.",МОНЕТИЗАЦИЯ,Отключение/подключение монетизации
"Подскажите, пожалуйста, что не запрещено выкладывать в монетизации?","Добрый день! Не запрешено публиковать то, что вы создали сами: видео, которое вы сняли, музыку, которую вы написали, изображения, которые вы создали. А также видео, музыку, изображения со стоков, которые предоставляют лицензию на коммерческое использование. Рекомендуем внимательно читать условия лицензии и соблюдать их — например, размещать ссылки на источники и имя автора, как это предусмотрено лицензией. Видео, музыку, изображения из библиотек платных видеоредакторов, лицензия которых предусматривает право на их коммерческое использование.",МОНЕТИЗАЦИЯ,Отключение/подключение монетизации
"Какую музыку можно использовать в видео, чтобы получать доход от просмотров?","В видео можно использовать музыку, которую вы написали сами. Либо музыку, на которую имеется лицензию на коммерческое использование. Рекомендуем внимательно читать условия лицензии и соблюдать их — например, размещать ссылки на источники и имя автора, как это предусмотрено лицензией. А также музыку из библиотек платных видеоредакторов, лицензия которых предусматривает право на их коммерческое использование.",МОНЕТИЗАЦИЯ,Отключение/подключение монетизации
Я заю что музыку нельзя размещать!  А если сам ее написал или с сайта то как,"Вы можете публиковать видео с музыкой, которую написали сами. Либо музыку, на которую имеется лицензию на коммерческое использование. Рекомендуем внимательно читать условия лицензии и соблюдать их — например, размещать ссылки на источники и имя автора, как это предусмотрено лицензией. А также музыку из библиотек платных видеоредакторов, лицензия которых предусматривает право на их коммерческое использование.",МОНЕТИЗАЦИЯ,Отключение/подключение монетизации
Какие материалы защищены авторским правом?,"Авторским правом охраняются произведения искусства, литературы и науки — то есть любая музыка, видео и изображения. При этом неважно, насколько они популярны или ценны для общества. У них у всех есть автор или правообладатель. ",МОДЕРАЦИЯ,Отклонение/блокировка видео
У контента из интернета есть авторские права?,"Авторским правом охраняются произведения искусства, литературы и науки — то есть любая музыка, видео и изображения. При этом неважно, насколько они популярны или ценны для общества. У них у всех есть автор или правообладатель. ",МОДЕРАЦИЯ,Отклонение/блокировка видео
Что защищено авторским правом? Какие материалы,"Авторским правом охраняются произведения искусства, литературы и науки — то есть любая музыка, видео и изображения. При этом неважно, насколько они популярны или ценны для общества. У них у всех есть автор или правообладатель. ",МОДЕРАЦИЯ,Отклонение/блокировка видео
Как подтвердить права на использование контента для монетизации?,"Если на вашем канале есть потенциально чужой контент и вы хотите его монетизировать, нужно предоставить документы от его правообладателя — например: Лицензионный договор; Договор об отчуждении исключительного права; Разрешительное или гарантийное письмо от правообладателя и т. п.",МОНЕТИЗАЦИЯ,Отключение/подключение монетизации
"Какие документы нужны для восстановления монетизации, ели это чужие видео?","Если на вашем канале есть потенциально чужой контент и вы хотите его монетизировать, нужно предоставить документы от его правообладателя — например: Лицензионный договор; Договор об отчуждении исключительного права; Разрешительное или гарантийное письмо от правообладателя и т. п.",МОНЕТИЗАЦИЯ,Отключение/подключение монетизации
"Добрый день, я бы хотел узнать какие документы я должен предоставить чтобы мог загружать определенные фильмы и мультфильмы? у меня есть разрешения на некоторые фильмы и мультфильмы просто, надо включить монетизацию","Добрый день! Если на вашем канале есть потенциально чужой контент и вы хотите его монетизировать, нужно предоставить документы от его правообладателя — например: Лицензионный договор; Договор об отчуждении исключительного права; Разрешительное или гарантийное письмо от правообладателя и т. п.",МОНЕТИЗАЦИЯ,Отключение/подключение монетизации
"Кому принадлежат авторские права на контент, который я размещаю на платформе?","По умолчанию считается, что авторские права на размещённый на RUTUBE контент принадлежат тому пользователю, который его разместил. Некоторые права передаются в рамках открытой лицензии третьим лицам, получившим доступ к этому контенту. Подробнее в разделе 4 Генерального пользовательского соглашения https://rutube.ru/info/agreement/ и в Приложении «Е» https://rutube.ru/info/ccl_agreement/. ",МОДЕРАЦИЯ,Отклонение/блокировка видео
"Если я видео размещаю, авторские права у вас будут?","По умолчанию считается, что авторские права на размещённый на RUTUBE контент принадлежат тому пользователю, который его разместил. Некоторые права передаются в рамках открытой лицензии третьим лицам, получившим доступ к этому контенту. Подробнее в разделе 4 Генерального пользовательского соглашения https://rutube.ru/info/agreement/ и в Приложении «Е» https://rutube.ru/info/ccl_agreement/. ",МОДЕРАЦИЯ,Отклонение/блокировка видео
кто правообладатель аорских прав на размещенный ролик на канале?,"По умолчанию считается, что авторские права на размещённый на RUTUBE контент принадлежат тому пользователю, который его разместил. Некоторые права передаются в рамках открытой лицензии третьим лицам, получившим доступ к этому контенту. Подробнее в разделе 4 Генерального пользовательского соглашения https://rutube.ru/info/agreement/ и в Приложении «Е» https://rutube.ru/info/ccl_agreement/. ",МОДЕРАЦИЯ,Отклонение/блокировка видео
Кому принадлежат авторские права на данный контент?,"По умолчанию считается, что авторские права на размещённый на RUTUBE контент принадлежат тому пользователю, который его разместил. Некоторые права передаются в рамках открытой лицензии третьим лицам, получившим доступ к этому контенту. Подробнее в разделе 4 Генерального пользовательского соглашения https://rutube.ru/info/agreement/ и в Приложении «Е» https://rutube.ru/info/ccl_agreement/. ",МОДЕРАЦИЯ,Отклонение/блокировка видео
Можно ли цитировать чужие произведения?,"Да, но нужно соблюдать несколько условий: Цитируемое произведение обнародовано правомерно; Указаны автор этого произведения и источник заимствования; Заимствована только небольшая часть произведения, и это оправдано целью видео.",МОДЕРАЦИЯ,Отклонение/блокировка видео
"пройдет видео модерация, если цитировать чужие материалы?","Для прохождения модерации нужно соблюдать несколько условий: Цитируемое произведение обнародовано правомерно; Указаны автор этого произведения и источник заимствования; Заимствована только небольшая часть произведения, и это оправдано целью видео.",МОДЕРАЦИЯ,Отклонение/блокировка видео
Могу я в видео процитировать произведение известного нейрохирурга?,"Да, но нужно соблюдать несколько условий: Цитируемое произведение обнародовано правомерно; Указаны автор этого произведения и источник заимствования; Заимствована только небольшая часть произведения, и это оправдано целью видео.",МОДЕРАЦИЯ,Отклонение/блокировка видео
Не запрещено цитировать произведения?,"Это не запрещено, если соблюдать несколько условий: Цитируемое произведение обнародовано правомерно; Указаны автор этого произведения и источник заимствования; Заимствована только небольшая часть произведения, и это оправдано целью видео.",МОДЕРАЦИЯ,Отклонение/блокировка видео
Могу ли я использовать небольшие фрагменты фильмов для создания своих видео?,"Да, на тех же условиях, что и цитирование. Использовать чужой контент в видео можно, только если у вас есть разрешение его автора или правообладателя либо это позволяет лицензия. Небольшие, короткие вставки или стоп-кадры можно использовать, но важно следить за тем, чтобы размер фрагмента был оправдан целью.",МОДЕРАЦИЯ,Отклонение/блокировка видео
"Пытался загрузить фильм и получаю:""Видео удалено за нарушение пользовательского соглашения""почему так?","Видео было заблокировано за размещение контента, неправомерно затрагивающего авторские или смежные права третьей стороны. Для восстановления видео необходимо подтвердить права на публикацию контента. Тип контента: фильм.
Без документов фильм не может быть опубликован.",МОДЕРАЦИЯ,Отклонение/блокировка видео
"можно ли делать вставки из чужие роликов мини фильмов, будет опубликовано?","Использовать чужой контент в видео можно, только если у вас есть разрешение его автора или правообладателя либо это позволяет лицензия. Небольшие, короткие вставки или стоп-кадры можно использовать, но важно следить за тем, чтобы размер фрагмента был оправдан целью.",МОДЕРАЦИЯ,Отклонение/блокировка видео
Можно ли свободно использовать материалы из интернета или из общего доступа?,"У любых материалов есть автор или правообладатель. Вам нужно его официальное разрешение для использования материалов в своём контенте. Факт того, что материал гуляет по интернету, не означает, что его можно использовать без ограничений.",МОДЕРАЦИЯ,Отклонение/блокировка видео
"Если беру материалы для публикации интернета, надо вам что-то предоставлять?","Да, вам нужно предоставить официальное разрешение для использования материалов в своём контенте от автора или правообладателя. ",МОДЕРАЦИЯ,Отклонение/блокировка видео
ролики из инета защищены авторским правом?,"Да, так как у любых материалов есть автор или правообладатель. Факт того, что материал размещен в интернете, не означает, что его можно использовать без ограничений. Вам нужно его официальное разрешение для использования материалов в своём контенте.",МОДЕРАЦИЯ,Отклонение/блокировка видео
"Можно ли использовать в видео материалы, которые распространяются по свободной лицензии?","Да, можно, но только если вы предоставите ссылку на страницу, где указаны однозначные условия такой лицензии на использование его материала.",МОДЕРАЦИЯ,Отклонение/блокировка видео
"Что сделать, чтобы использовать в видео материалы, которые распространяются по свободной лицензии?","Вам необходимо предоставить ссылку на страницу, где указаны однозначные условия такой лицензии на использование этого материала.",МОДЕРАЦИЯ,Отклонение/блокировка видео
"Могу я использовать музыку, которая распространяется по свободной лицензии?","Да, можно, но только если вы предоставите ссылку на страницу, где указаны однозначные условия такой лицензии на использование этой музыки.",МОДЕРАЦИЯ,Отклонение/блокировка видео
Можно ли публиковать видео с чтением чужих книг и их переводов?,"Да, можно, но только если: У вас есть разрешение от автора или правообладателя; Это произведение или его перевод перешло в общественное достояние. Произведение переходит в общественное достояние через 70 лет после смерти автора, считая с 1 января года, следующего за годом смерти.",МОДЕРАЦИЯ,Отклонение/блокировка видео
Какие видео  с чтением чужих книг можно публиковать?,"Видео с чтением чужих книг можно публиковать, если у вас есть разрешение от автора или правообладателя или если это произведение или его перевод перешло в общественное достояние. Произведение переходит в общественное достояние через 70 лет после смерти автора, считая с 1 января года, следующего за годом смерти.",МОДЕРАЦИЯ,Отклонение/блокировка видео
