"Тема","Вопрос из БЗ","Ответ из БЗ","Классификатор 1 уровня","Классификатор 2 уровня"
"Мобильное приложение Студия RUTUBE на IOS","Какие функции доступны в приложении Студия RUTUBE?","В приложении Студия RUTUBE доступны: 1. Страница управления настройками канала 2. Аналитика канала 3. Загрузка видео 4. Статистика по видео 5. Редактирование видео 6. Просмотр всех видео на канале 7. Обзор показателей канала (статистика по каналу, последнее опубликованное видео с аналитикой по нему и последний опубликованный комментарий под видео на вашем канале)","УПРАВЛЕНИЕ АККАУНТОМ","Персонализация"
"Мобильное приложение Студия RUTUBE на IOS","На каких операционных системах доступно приложение Студия RUTUBE?","Приложение доступно на мобильных устройствах с операционной системой iOS (версия 16.0 и выше), Аndroid (версия 8 и выше) и HarmonyOS.","ДОСТУП К RUTUBE","Приложение "
"Мобильное приложение Студия RUTUBE на IOS","Как узнать версию приложения Студия RUTUBE?","Для этого в правом верхнем углу нажмите на фото своего профиля и под кнопкой ""Выйти"" будет указана версия приложения Студия RUTUBE.","ОТСУТСТВУЕТ","Отсутствует"
"Мобильное приложение Студия RUTUBE на IOS","Как зарегистрироваться в приложении Студия RUTUBE?","Зарегистрироваться в приложении можно по номеру телефона или электронной почте.","УПРАВЛЕНИЕ АККАУНТОМ","Регистрация/Авторизация"
"Мобильное приложение Студия RUTUBE на IOS","Как авторизоваться в приложении Студия RUTUBE?","Авторизоваться в приложении можно по номеру телефона или электронной почте.","УПРАВЛЕНИЕ АККАУНТОМ","Регистрация/Авторизация"
"Мобильное приложение Студия RUTUBE на IOS","Можно ли авторизоваться в приложении Студия RUTUBE под уже существующим аккаунтом?","Да, если у вас есть ранее созданный аккаунт в RUTUBE.","УПРАВЛЕНИЕ АККАУНТОМ","Регистрация/Авторизация"
"Мобильное приложение Студия RUTUBE на IOS","Можно ли авторизоваться (выполнить вход) в приложении Студия RUTUBE без ввода проверочного кода?","Да, если у вас есть ранее созданный пароль. Если у вас нет пароля, то вы можете его создать в своем профиле внутри приложения Студии RUTUBE.","УПРАВЛЕНИЕ АККАУНТОМ","Регистрация/Авторизация"
"Мобильное приложение Студия RUTUBE на IOS","Как выйти из аккаунта в приложении Студия RUTUBE?","Для выхода из аккаунта кликните на фото своего профиля в правом верхнем углу и нажмите на кнопку ""Выйти"" внизу экрана.","УПРАВЛЕНИЕ АККАУНТОМ","Персонализация"
"Мобильное приложение Студия RUTUBE на IOS","Можно ли изменять данные профиля в приложении Студия RUTUBE?","Вы можете изменять пол, дату рождения и пароль. Для этого нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Мои данные"". Изменение номера телефона или электронной почты пока доступно только в веб-версии RUTUBE: https://rutube.ru/profile/","УПРАВЛЕНИЕ АККАУНТОМ","Персонализация"
"Мобильное приложение Студия RUTUBE на IOS","Можно ли изменять название и описание профиля канала в приложении Студия RUTUBE?","Да, можно. Для этого нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Настройки канала"".","УПРАВЛЕНИЕ АККАУНТОМ","Персонализация"
"Мобильное приложение Студия RUTUBE на IOS","Можно ли удалить канал через приложение Студия RUTUBE?","Да, можно. Для этого нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Настройки канала"", внизу экрана нажмите на кнопку ""Удалить канал"".","УПРАВЛЕНИЕ АККАУНТОМ","Удаление аккаунта"
"Мобильное приложение Студия RUTUBE на IOS","Можно ли изменить обложку канала и фото профиля в приложении Студия RUTUBE?","Да, можно. Для этого, в правом верхнем углу нажмите на фото своего профиля. Затем кликните на иконку фотоаппарата, на вашей текущей обложке или фотографии профиля.","УПРАВЛЕНИЕ АККАУНТОМ","Персонализация"
"Мобильное приложение Студия RUTUBE на IOS","Можно ли выдать доступы к студии канала через приложение Студия RUTUBE?","Нет. На данный момент в приложении такой возможности нет. Рекомендуем воспользоваться веб-версией Студии для управления доступами к своему каналу. Перейдите в настройки канала и в разделе ""Доступы к студии канала"" нажмите на ""Добавить пользователя"": ссылка Подробнее про управление доступами: https://rutube.ru/info/studio","ПРЕДЛОЖЕНИЯ","Студия RUTUBE"
"Мобильное приложение Студия RUTUBE на IOS","Можно ли управлять другим каналом через приложение Студия RUTUBE?","Нет. Если вам выданы права на управление другим каналом, то это можно сделать только в веб-версии Студии: https://studio.rutube.ru/ Для этого нажмите на иконку профиля в правом верхнем углу Студии и выберете тот канал, которым хотите начать управлять. Подробнее про управление доступами: https://rutube.ru/info/studio","ПРЕДЛОЖЕНИЯ","Студия RUTUBE"
"Мобильное приложение Студия RUTUBE на IOS","Какие требования к обложке канала?","Мы рекомендуем соблюдать следующие требования: Разрешение: 2204х864 пикселей Формат: jpeg, jpg или png Размер файла: не более 10 МБ.","УПРАВЛЕНИЕ АККАУНТОМ","Персонализация"
"Мобильное приложение Студия RUTUBE на IOS","Можно ли менять местами или скрыть разделы во вкладке ""Обзор"" в приложении Студия RUTUBE?","На данный момент такой возможности нет.","ПРЕДЛОЖЕНИЯ","Навигация"
"Мобильное приложение Студия RUTUBE на IOS","Как посмотреть аналитику по конкретному видео в приложении Студия RUTUBE?","На данный момент вы можете посмотреть аналитику только по последнему опубликованному видео. Чтобы посмотреть аналитику по другим видео вы можете воспользоваться разделом ""Аналитика"" выбрав вкладку ""Видео"" в веб-версии Студии: ссылка","ПРЕДЛОЖЕНИЯ","Студия RUTUBE"
"Мобильное приложение Студия RUTUBE на IOS","Как посмотреть доход по конкретному видео в приложении Студия RUTUBE?","На данный момент в приложении такой возможности нет, но вы можете посмотреть аналитику в веб-версии Студии, для этого перейдите в раздел ""Монетизация"" и нажмите на вкладку ""Видео"": https://studio.rutube.ru/monetization","ПРЕДЛОЖЕНИЯ","Монетизация"
"Мобильное приложение Студия RUTUBE на IOS","Как подключиться к партнерской программе в приложении Студия RUTUBE?","На данный момент в приложении такой возможности нет, но вы можете подключиться к партнерской программе в веб-версии Студии в разделе ""Монетизация"": ссылка Подробнее про подключение к партнерской программе: https://rutube.ru/info/monetization","ПРЕДЛОЖЕНИЯ","Монетизация"
"Мобильное приложение Студия RUTUBE на IOS","Как создать плейлисты в приложении Студия RUTUBE?","Пока в приложении такой возможности нет, но вы можете создавать плейлисты в веб-версии Студии в разделе ""Плейлисты"": https://studio.rutube.ru/playlists","ПРЕДЛОЖЕНИЯ","Студия RUTUBE"
"Мобильное приложение Студия RUTUBE на IOS","Можно ли загружать видео или Shorts в приложении Студия RUTUBE?","Да, вы можете загружать ролики как формата Shorts, так и обычные.","ВИДЕО","Загрузка видео"
"Мобильное приложение Студия RUTUBE на IOS","Можно ли в приложении Студия RUTUBE создавать и вести трансляции?","Пока в приложении такой возможности нет. Возможность запускать трансляции добавим в следующих обновлениях приложения. Рекомендуем воспользоваться разделом ""Создание трансляции"" в веб-версии Студии: https://studio.rutube.ru/create-stream","ПРЕДЛОЖЕНИЯ","Трансляция"
"Мобильное приложение Студия RUTUBE на IOS","Можно ли отсортировать видео по статусу в категории ""Модерация/Отклонено"" в приложении Студия RUTUBE?","Нет, по статусу вы можете отфильтровать только опубликованные и запланированные видео.","ПРЕДЛОЖЕНИЯ","Навигация"
"Мобильное приложение Студия RUTUBE на IOS","Какие требования к обложке видео?","Мы рекомендуем соблюдать следующие требования: Разрешение: до 1920х1080. Формат: jpeg, jpg или png Размер файла: не более 10 МБ.","ВИДЕО","Загрузка видео"
"Мобильное приложение Студия RUTUBE на IOS","Можно ли работать с комментариями в приложении Студия RUTUBE?","На данный момент такой возможности нет, но мы ее обязательно добавим в следующих обновлениях. Рекомендуем воспользоваться разделом ""Комментарии"" в веб-версии Студии: https://studio.rutube.ru/comments","ПРЕДЛОЖЕНИЯ","Студия RUTUBE"
"Мобильное приложение Студия RUTUBE на IOS","Как перенести видео c YouTube на RUTUBE?","Перенести видео c Youtube на RUTUBE можно только в веб-версии Студии RUTUBE: https://studio.rutube.ru/.","ПРЕДЛОЖЕНИЯ","Студия RUTUBE"
"Мобильное приложение Студия RUTUBE на IOS","Не могу зарегистрироваться/авторизоваться в приложении Студия RUTUBE. Что делать?  ","Напишите в поддержку на help@rutube.ru указав электронную почту или номер телефона, на которые регистрировался аккаунт.","УПРАВЛЕНИЕ АККАУНТОМ","Регистрация/Авторизация"
"Мобильное приложение Студия RUTUBE на IOS","Как написать обращение в поддержку через приложение Студия RUTUBE? ","Нажмите на фото своего профиля в правом верхнем углу, выберите ""Поддержка"", а далее вы можете отправить обращение на help@rutube.ru","ОТСУТСТВУЕТ","Отсутствует"
"Мобильное приложение Студия RUTUBE на Android","Что такое мобильное приложение Студия RUTUBE?","Приложение Студия RUTUBE — это приложение для смартфонов, работающих под управлением Аndroid, HarmonyOS и iOS, которое помогает блогерам общаться со своей аудиторией, анализировать статистику по своему каналу и работать с контентом.","УПРАВЛЕНИЕ АККАУНТОМ","Персонализация"
"Мобильное приложение Студия RUTUBE на Android","Какие функции доступны в приложении Студия RUTUBE?","В приложении Студия RUTUBE доступны: 1. Страница управления настройками 2. Загрузка и редактирование видео 3. Создание и редактирование плейлистов 4. Статистика по видео и трансляциям 5. Аналитика канала 6. Страница работы с комментариями 7. Создание и редактирование роликов Shorts 8. Создание и управление трансляцией","УПРАВЛЕНИЕ АККАУНТОМ","Персонализация"
"Мобильное приложение Студия RUTUBE на Android","Где можно скачать приложение Студия RUTUBE?","Скачать приложение Студия RUTUBE можно в: 1. Google Play: https://play.google.com/store/apps/details?id=ru.rutube.studio 2. AppGallery: https://appgallery.huawei.com/#/app/C111062405 3. RuStore: https://www.rustore.ru/catalog/app/ru.rutube.studio","ДОСТУП К RUTUBE","Приложение "
"Мобильное приложение Студия RUTUBE на Android","На каких операционных системах доступно приложение Студия RUTUBE?","Приложение доступно на мобильных устройствах с операционной системой Аndroid (версия 8 и выше), HarmonyOS (версия ... и выше) и iOS (версия 16.0 и выше).","ДОСТУП К RUTUBE","Приложение "
"Мобильное приложение Студия RUTUBE на Android","Как узнать версию приложения Студия RUTUBE?","Для этого в правом верхнем углу нажмите на фото своего профиля и под кнопкой ""Выйти"" будет указана версия приложения Студия RUTUBE.","ОТСУТСТВУЕТ","Отсутствует"
"Мобильное приложение Студия RUTUBE на Android","Доступно ли приложение Студия RUTUBE на планшетах?","Вы можете скачать приложение на планшет, но верстка будет для мобильного приложения. Замечания и пожелания по версии Студии RUTUBE для планшетов, пожалуйста, отправляйте на help@rutube.ru","ДОСТУП К RUTUBE","Приложение "
"Мобильное приложение Студия RUTUBE на Android","Как зарегистрироваться в приложении Студия RUTUBE?","Зарегистрироваться в приложении можно по номеру телефона или электронной почте.","УПРАВЛЕНИЕ АККАУНТОМ","Регистрация/Авторизация"
"Мобильное приложение Студия RUTUBE на Android","Как авторизоваться в приложении Студия RUTUBE?","Авторизоваться в приложении можно по номеру телефона или электронной почте.","УПРАВЛЕНИЕ АККАУНТОМ","Регистрация/Авторизация"
"Мобильное приложение Студия RUTUBE на Android","Можно ли авторизоваться в приложении Студия RUTUBE под уже существующим аккаунтом?","Да, если у вас есть ранее созданный аккаунт в RUTUBE.","УПРАВЛЕНИЕ АККАУНТОМ","Регистрация/Авторизация"
"Мобильное приложение Студия RUTUBE на Android","Можно ли авторизоваться (выполнить вход) в приложении Студия RUTUBE без ввода проверочного кода?","Да, если у вас есть ранее созданный пароль. Если у вас нет пароля, то вы можете его создать в своем профиле внутри приложения Студии RUTUBE.","УПРАВЛЕНИЕ АККАУНТОМ","Регистрация/Авторизация"
"Мобильное приложение Студия RUTUBE на Android","Как выйти из аккаунта в приложении Студия RUTUBE?","Для выхода из аккаунта кликните на фото своего профиля в правом верхнем углу и нажмите на кнопку ""Выйти"" внизу экрана.","УПРАВЛЕНИЕ АККАУНТОМ","Персонализация"
"Мобильное приложение Студия RUTUBE на Android","Можно ли изменять данные профиля в приложении Студия RUTUBE?","Вы можете изменять пол, дату рождения и пароль. Для этого нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Мои данные"". Изменение номера телефона или электронной почты пока доступно только в веб-версии RUTUBE: https://rutube.ru/profile/","УПРАВЛЕНИЕ АККАУНТОМ","Персонализация"
"Мобильное приложение Студия RUTUBE на Android","Можно ли изменять название и описание профиля канала в приложении Студия RUTUBE?","Да, можно. Для этого нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Настройки канала"".","УПРАВЛЕНИЕ АККАУНТОМ","Персонализация"
"Мобильное приложение Студия RUTUBE на Android","Можно ли удалить канал через приложение Студия RUTUBE?","Да, можно. Для этого нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Настройки канала"", внизу экрана нажмите на кнопку ""Удалить канал"".","УПРАВЛЕНИЕ АККАУНТОМ","Удаление аккаунта"
"Мобильное приложение Студия RUTUBE на Android","Можно ли изменить обложку канала и фото профиля в приложении Студия RUTUBE?","Да, можно. Для этого, в правом верхнем углу нажмите на фото своего профиля. Затем кликните на иконку фотоаппарата, на вашей текущей обложке или фотографии профиля.","УПРАВЛЕНИЕ АККАУНТОМ","Персонализация"
"Мобильное приложение Студия RUTUBE на Android","Можно ли выдать доступы к студии канала через приложение Студия RUTUBE?","Нет. На данный момент в приложении такой возможности нет. Рекомендуем воспользоваться веб-версией Студии для управления доступами к своему каналу. Перейдите в настройки канала и в разделе ""Доступы к студии канала"" нажмите на ""Добавить пользователя"": https://studio.rutube.ru/channel-settings Подробнее про управление доступами: https://rutube.ru/info/studio","ПРЕДЛОЖЕНИЯ","Студия RUTUBE"
"Мобильное приложение Студия RUTUBE на Android","Можно ли управлять другим каналом через приложение Студия RUTUBE?","Нет. Если вам выданы права на управление другим каналом, то это можно сделать только в веб-версии Студии: https://studio.rutube.ru/ Для этого нажмите на иконку профиля в правом верхнем углу Студии и выберете тот канал, которым хотите начать управлять. Подробнее про управление доступами: https://rutube.ru/info/studio","ПРЕДЛОЖЕНИЯ","Студия RUTUBE"
"Мобильное приложение Студия RUTUBE на Android","Какие требования к обложке канала?","Мы рекомендуем соблюдать следующие требования: Разрешение: 2204х864 пикселей Формат: jpeg, jpg или png Размер файла: не более 10 МБ.","УПРАВЛЕНИЕ АККАУНТОМ","Персонализация"
"Мобильное приложение Студия RUTUBE на Android","Можно ли менять местами или скрыть разделы во вкладке ""Обзор"" в приложении Студия RUTUBE?","На данный момент такой возможности нет.","ПРЕДЛОЖЕНИЯ","Навигация"
"Мобильное приложение Студия RUTUBE на Android","Как посмотреть аналитику по конкретному видео в приложении Студия RUTUBE?","Для просмотра аналитики по конкретному видео перейдите во вкладку ""Видео"", сверху экрана выберите подраздел ""Видео"" или ""Shorts"" и нажмите на интересующий вас ролик.","УПРАВЛЕНИЕ АККАУНТОМ","Аналитика"
"Мобильное приложение Студия RUTUBE на Android","Как посмотреть доход по конкретному видео в приложении Студия RUTUBE?","На данный момент в приложении такой возможности нет, но вы можете посмотреть аналитику в веб-версии Студии, для этого перейдите в раздел ""Монетизация"" и нажмите на вкладку ""Видео"": https://studio.rutube.ru/monetization","ПРЕДЛОЖЕНИЯ","Монетизация"
"Мобильное приложение Студия RUTUBE на Android","Как подключиться к партнерской программе в приложении Студия RUTUBE?","На данный момент в приложении такой возможности нет, но вы можете подключиться к партнерской программе в веб-версии Студии в разделе ""Монетизация"": https://studio.rutube.ru/monetization Подробнее про подключение к партнерской программе: https://rutube.ru/info/monetization","ПРЕДЛОЖЕНИЯ","Монетизация"
"Мобильное приложение Студия RUTUBE на Android","Как создать плейлисты в приложении Студия RUTUBE?","Пока в приложении такой возможности нет, но вы можете создавать плейлисты в веб-версии Студии в разделе ""Плейлисты"": https://studio.rutube.ru/playlists","ПРЕДЛОЖЕНИЯ","Студия RUTUBE"
"Мобильное приложение Студия RUTUBE на Android","Можно ли в приложении Студия RUTUBE создавать и загружать видео?","Да, вы можете создавать и загружать ролики как формата Shorts, так и обычные.","ВИДЕО","Загрузка видео"
