Page,Content,Title,Category1,Category2
1b898a1ba6230d78a753be9d9e716877a7cae3f02ed3b34ea5c3223b6121eb85,"Пример Вопроса:
 Можно ли свободно использовать материалы из интернета или из общего доступа? 
Пример ответа: 
 У любых материалов есть автор или правообладатель. Вам нужно его официальное разрешение для использования материалов в своём контенте. Факт того, что материал гуляет по интернету, не означает, что его можно использовать без ограничений.","У любых материалов есть автор или правообладатель. Вам нужно его официальное разрешение для использования материалов в своём контенте. Факт того, что материал гуляет по интернету, не означает, что его можно использовать без ограничений.",МОДЕРАЦИЯ,Отклонение/блокировка видео
467a202cf33f61e6943a928ade6fa2f17ae94151400f5300d9590a2e4a15413a,"Пример Вопроса:
 Можно ли использовать в видео материалы, которые распространяются по свободной лицензии? 
Пример ответа: 
 Да, можно, но только если вы предоставите ссылку на страницу, где указаны однозначные условия такой лицензии на использование его материала.","Да, можно, но только если вы предоставите ссылку на страницу, где указаны однозначные условия такой лицензии на использование его материала.",МОДЕРАЦИЯ,Отклонение/блокировка видео
3fb1c1c5b3c56c5923e14cc02b1448cfdfb992d3ba2dd6f3998751088ea117ed,"Пример Вопроса:
 Можно ли публиковать видео с чтением чужих книг и их переводов? 
Пример ответа: 
 Да, можно, но только если: У вас есть разрешение от автора или правообладателя; Это произведение или его перевод перешло в общественное достояние. Произведение переходит в общественное достояние через 70 лет после смерти автора, считая с 1 января года, следующего за годом смерти.","Да, можно, но только если: У вас есть разрешение от автора или правообладателя; Это произведение или его перевод перешло в общественное достояние. Произведение переходит в общественное достояние через 70 лет после смерти автора, считая с 1 января года, следующего за годом смерти.",МОДЕРАЦИЯ,Отклонение/блокировка видео
25f8ce86bdc2e45018a65d6e19e44d11044a9005cd3138a27f997b467d8147df,"Пример Вопроса:
 Нарушает ли авторские права использование образа персонажа игры/фильма/сериала? 
Пример ответа: 
 Да, права на персонажей фильмов/мультфильмов/игр/сериалов охраняются авторским правом, и их образы нельзя использовать без официального разрешения автора или правообладателя.","Да, права на персонажей фильмов/мультфильмов/игр/сериалов охраняются авторским правом, и их образы нельзя использовать без официального разрешения автора или правообладателя.",МОДЕРАЦИЯ,Отклонение/блокировка видео
d9033a0542ceaacfa295d6365b015e6c79972a6fb4ed999c0883b6fb5e44a097,"Пример Вопроса:
 Почему вы не разглашаете, чьи авторские права я нарушаю? 
Пример ответа: 
 Мы строго следуем правилам платформы, а именно п. 4.18, 4.27, 4.30 Генерального пользовательского соглашения RUTUBE.","Мы строго следуем правилам платформы, а именно п. 4.18, 4.27, 4.30 Генерального пользовательского соглашения RUTUBE.",МОДЕРАЦИЯ,Отклонение/блокировка видео
99cc96beeb5c6feb6f6c468e9b0417e237039c95c93c6be659b64362df174101,"Пример Вопроса:
 Как пожаловаться на видео, если оно нарушает авторские права? 
Пример ответа: 
 Чтобы отправить жалобу, заполните форму: Для юридических лиц: https://rutube.ru/forms/form/2/ . Для физических лиц: https://rutube.ru/forms/form/12/. Или нажмите «Пожаловаться» в меню действий видео, комментария, плейлиста или канала.","Чтобы отправить жалобу, заполните форму: Для юридических лиц: https://rutube.ru/forms/form/2/ . Для физических лиц: https://rutube.ru/forms/form/12/. Или нажмите «Пожаловаться» в меню действий видео, комментария, плейлиста или канала.",МОДЕРАЦИЯ,Нарушение авторских прав
87ac71c89b970a129dd1d845507ca6c9603359367c98c911d481469d13e1f544,"Пример Вопроса:
 Что такое мобильное приложение Студия RUTUBE? 
Пример ответа: 
 Приложение Студия RUTUBE — это приложение для смартфонов работающих под управлением iOS и Аndroid, HarmonyOS, которое помогает блогерам общаться со своей аудиторией, анализировать статистику по своему каналу и работать с контентом.","Приложение Студия RUTUBE — это приложение для смартфонов работающих под управлением iOS и Аndroid, HarmonyOS, которое помогает блогерам общаться со своей аудиторией, анализировать статистику по своему каналу и работать с контентом.",УПРАВЛЕНИЕ АККАУНТОМ,Персонализация
1059dab7552914a912a984ec92f7f4f7369b06eb989e5c4e58eb7ae430eaffa9,"Пример Вопроса:
 Какие функции доступны в приложении Студия RUTUBE? 
Пример ответа: 
 В приложении Студия RUTUBE доступны: 1. Страница управления настройками канала 2. Аналитика канала 3. Загрузка видео 4. Статистика по видео 5. Редактирование видео 6. Просмотр всех видео на канале 7. Обзор показателей канала (статистика по каналу, последнее опубликованное видео с аналитикой по нему и последний опубликованный комментарий под видео на вашем канале)","В приложении Студия RUTUBE доступны: 1. Страница управления настройками канала 2. Аналитика канала 3. Загрузка видео 4. Статистика по видео 5. Редактирование видео 6. Просмотр всех видео на канале 7. Обзор показателей канала (статистика по каналу, последнее опубликованное видео с аналитикой по нему и последний опубликованный комментарий под видео на вашем канале)",УПРАВЛЕНИЕ АККАУНТОМ,Персонализация
7ccb676e3c5aaec1713a2d6859fe13b3b4516412b8595e46bd44cd20de15c6c9,"Пример Вопроса:
 На каких операционных системах доступно приложение Студия RUTUBE? 
Пример ответа: 
 Приложение доступно на мобильных устройствах с операционной системой iOS (версия 16.0 и выше), Аndroid (версия 8 и выше) и HarmonyOS.","Приложение доступно на мобильных устройствах с операционной системой iOS (версия 16.0 и выше), Аndroid (версия 8 и выше) и HarmonyOS.",ДОСТУП К RUTUBE,Приложение 
badb3e8e23e2c0a9495736e60012dc886bd9649a6037d4b6d934f9a8b93ae9fb,"Пример Вопроса:
 Как узнать версию приложения Студия RUTUBE? 
Пример ответа: 
 Для этого в правом верхнем углу нажмите на фото своего профиля и под кнопкой ""Выйти"" будет указана версия приложения Студия RUTUBE.","Для этого в правом верхнем углу нажмите на фото своего профиля и под кнопкой ""Выйти"" будет указана версия приложения Студия RUTUBE.",ОТСУТСТВУЕТ,Отсутствует
33ff7507c98f250bf2c70100467cf745bb9013be579fc90f40770734234f0f42,"Пример Вопроса:
 Как зарегистрироваться в приложении Студия RUTUBE? 
Пример ответа: 
 Зарегистрироваться в приложении можно по номеру телефона или электронной почте.",Зарегистрироваться в приложении можно по номеру телефона или электронной почте.,УПРАВЛЕНИЕ АККАУНТОМ,Регистрация/Авторизация
57ce9a083fb97145d3b41d37f8807d7980e36bbd088be67eeb0bd201fafed2bc,"Пример Вопроса:
 Как авторизоваться в приложении Студия RUTUBE? 
Пример ответа: 
 Авторизоваться в приложении можно по номеру телефона или электронной почте.",Авторизоваться в приложении можно по номеру телефона или электронной почте.,УПРАВЛЕНИЕ АККАУНТОМ,Регистрация/Авторизация
bdc368dc802b538aad0052752b29648d7281681a80a0b0cb9a906332a67bf291,"Пример Вопроса:
 Можно ли авторизоваться в приложении Студия RUTUBE под уже существующим аккаунтом? 
Пример ответа: 
 Да, если у вас есть ранее созданный аккаунт в RUTUBE.","Да, если у вас есть ранее созданный аккаунт в RUTUBE.",УПРАВЛЕНИЕ АККАУНТОМ,Регистрация/Авторизация
987fd35c08756a4358274a4e4d2e05fd78afe6774198943e11c0b7dbd5c5c06c,"Пример Вопроса:
 Можно ли авторизоваться (выполнить вход) в приложении Студия RUTUBE без ввода проверочного кода? 
Пример ответа: 
 Да, если у вас есть ранее созданный пароль. Если у вас нет пароля, то вы можете его создать в своем профиле внутри приложения Студии RUTUBE.","Да, если у вас есть ранее созданный пароль. Если у вас нет пароля, то вы можете его создать в своем профиле внутри приложения Студии RUTUBE.",УПРАВЛЕНИЕ АККАУНТОМ,Регистрация/Авторизация
dcdb573cca2b6d1c79199f26ca83465d2d0900b280a190ec5841f087b12f5e3c,"Пример Вопроса:
 Как выйти из аккаунта в приложении Студия RUTUBE? 
Пример ответа: 
 Для выхода из аккаунта кликните на фото своего профиля в правом верхнем углу и нажмите на кнопку ""Выйти"" внизу экрана.","Для выхода из аккаунта кликните на фото своего профиля в правом верхнем углу и нажмите на кнопку ""Выйти"" внизу экрана.",УПРАВЛЕНИЕ АККАУНТОМ,Персонализация
3e10f4247f153ea57c05dc4af850fa34a8177cd6e995b3368ba5594a23264c6d,"Пример Вопроса:
 Можно ли изменять данные профиля в приложении Студия RUTUBE? 
Пример ответа: 
 Вы можете изменять пол, дату рождения и пароль. Для этого нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Мои данные"". Изменение номера телефона или электронной почты пока доступно только в веб-версии RUTUBE: https://rutube.ru/profile/","Вы можете изменять пол, дату рождения и пароль. Для этого нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Мои данные"". Изменение номера телефона или электронной почты пока доступно только в веб-версии RUTUBE: https://rutube.ru/profile/",УПРАВЛЕНИЕ АККАУНТОМ,Персонализация
61511670fe96c710f4a7d45e20b52819b236f8a7af354c3e4c0d6d18a07acf9d,"Пример Вопроса:
 Можно ли изменять название и описание профиля канала в приложении Студия RUTUBE? 
Пример ответа: 
 Да, можно. Для этого нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Настройки канала"".","Да, можно. Для этого нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Настройки канала"".",УПРАВЛЕНИЕ АККАУНТОМ,Персонализация
7a52a7f1cfb8dc6fff14c692375e6fcbbe78c7cc3f41294514ffd5933f057f8c,"Пример Вопроса:
 Можно ли удалить канал через приложение Студия RUTUBE? 
Пример ответа: 
 Да, можно. Для этого нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Настройки канала"", внизу экрана нажмите на кнопку ""Удалить канал"".","Да, можно. Для этого нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Настройки канала"", внизу экрана нажмите на кнопку ""Удалить канал"".",УПРАВЛЕНИЕ АККАУНТОМ,Удаление аккаунта
3ea188414ccbccc79daebd7d39a099dd6d13739cfef38c7194e27ed4496bf710,"Пример Вопроса:
 Можно ли изменить обложку канала и фото профиля в приложении Студия RUTUBE? 
Пример ответа: 
 Да, можно. Для этого, в правом верхнем углу нажмите на фото своего профиля. Затем кликните на иконку фотоаппарата, на вашей текущей обложке или фотографии профиля.","Да, можно. Для этого, в правом верхнем углу нажмите на фото своего профиля. Затем кликните на иконку фотоаппарата, на вашей текущей обложке или фотографии профиля.",УПРАВЛЕНИЕ АККАУНТОМ,Персонализация
33747a11d6698b174a1b7723488aede8a77e6a5bc075333811222ed2c3cf9c7c,"Пример Вопроса:
 Можно ли выдать доступы к студии канала через приложение Студия RUTUBE? 
Пример ответа: 
 Нет. На данный момент в приложении такой возможности нет. Рекомендуем воспользоваться веб-версией Студии для управления доступами к своему каналу. Перейдите в настройки канала и в разделе ""Доступы к студии канала"" нажмите на ""Добавить пользователя"": ссылка Подробнее про управление доступами: https://rutube.ru/info/studio","Нет. На данный момент в приложении такой возможности нет. Рекомендуем воспользоваться веб-версией Студии для управления доступами к своему каналу. Перейдите в настройки канала и в разделе ""Доступы к студии канала"" нажмите на ""Добавить пользователя"": ссылка Подробнее про управление доступами: https://rutube.ru/info/studio",ПРЕДЛОЖЕНИЯ,Студия RUTUBE
8e5ba1a4faa03f1a33d37a901383edb99534989f1fb8824655f8e459ebc5cd32,"Пример Вопроса:
 Можно ли управлять другим каналом через приложение Студия RUTUBE? 
Пример ответа: 
 Нет. Если вам выданы права на управление другим каналом, то это можно сделать только в веб-версии Студии: https://studio.rutube.ru/ Для этого нажмите на иконку профиля в правом верхнем углу Студии и выберете тот канал, которым хотите начать управлять. Подробнее про управление доступами: https://rutube.ru/info/studio","Нет. Если вам выданы права на управление другим каналом, то это можно сделать только в веб-версии Студии: https://studio.rutube.ru/ Для этого нажмите на иконку профиля в правом верхнем углу Студии и выберете тот канал, которым хотите начать управлять. Подробнее про управление доступами: https://rutube.ru/info/studio",ПРЕДЛОЖЕНИЯ,Студия RUTUBE
a6449f641c293f5d1b141a00f7584ace79a9204b3707b52604020cd1b88113c4,"Пример Вопроса:
 Какие требования к обложке канала? 
Пример ответа: 
 Мы рекомендуем соблюдать следующие требования: Разрешение: 2204х864 пикселей Формат: jpeg, jpg или png Размер файла: не более 10 МБ.","Мы рекомендуем соблюдать следующие требования: Разрешение: 2204х864 пикселей Формат: jpeg, jpg или png Размер файла: не более 10 МБ.",УПРАВЛЕНИЕ АККАУНТОМ,Персонализация
9e55caf9af88919649cec2e8d6530775e90ff1c84efe6432d08f77ab5621f971,"Пример Вопроса:
 Можно ли менять местами или скрыть разделы во вкладке ""Обзор"" в приложении Студия RUTUBE? 
Пример ответа: 
 На данный момент такой возможности нет.",На данный момент такой возможности нет.,ПРЕДЛОЖЕНИЯ,Навигация
db9369051849ab40547f77370d700b0745600d000d3b0d5841a569b470fcf8fc,"Пример Вопроса:
 Как посмотреть аналитику по конкретному видео в приложении Студия RUTUBE? 
Пример ответа: 
 На данный момент вы можете посмотреть аналитику только по последнему опубликованному видео. Чтобы посмотреть аналитику по другим видео вы можете воспользоваться разделом ""Аналитика"" выбрав вкладку ""Видео"" в веб-версии Студии: ссылка","На данный момент вы можете посмотреть аналитику только по последнему опубликованному видео. Чтобы посмотреть аналитику по другим видео вы можете воспользоваться разделом ""Аналитика"" выбрав вкладку ""Видео"" в веб-версии Студии: ссылка",ПРЕДЛОЖЕНИЯ,Студия RUTUBE
